cand_id,cycle,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,state_abbreviation,district,incumbent,party,primary_votes,runoff_votes,general_votes,ge_runoff_election_votes,winner,total_votes,totalspend,costvote
H0CA48131,2010,281203.41,7102.03,71543.67,17061.0,28427.23,278811.78,2750.0,0.0,0.0,0.0,0.0,0.0,2322.33,CA,48,0,D,30818.0,0.0,88465.0,0.0,0,119283.0,689221.45,5.778035847522278
H0CA49055,2004,192592.04,1479.0,18402.9,0.0,24361.2,0.0,3171.14,0.0,0.0,0.0,0.0,0.0,2719.51,CA,53,1,D,55791.0,0.0,146449.0,0.0,1,202240.0,242725.79000000004,1.2001868571993672
H0CA49055,2006,183303.78,479.8,16949.48,1629.18,2500.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,CA,53,1,D,41231.0,0.0,97541.0,0.0,1,138772.0,204982.24,1.4771152682097253
H0CA49055,2008,154174.48,0.0,91563.85,360.0,15000.0,53.88,2673.2,0.0,0.0,0.0,53925.0,0.0,1818.38,CA,53,1,D,43171.0,0.0,161315.0,0.0,1,204486.0,319568.79000000004,1.5627905577887975
H0CA49055,2010,545846.29,2375.02,4927.28,3500.36,0.0,3678.56,3148.31,0.0,0.0,0.0,0.0,0.0,1078.89,CA,53,1,D,42976.0,0.0,104800.0,0.0,1,147776.0,564554.7100000002,3.8203409890645315
H0CA49055,2012,585229.8,1614.04,11623.23,448.0,0.0,0.0,1723.25,0.0,0.0,0.0,350.19,0.0,17920.36,CA,53,1,D,70462.0,0.0,164825.0,0.0,1,235287.0,618908.87,2.6304422683786184
H0CA49055,2014,390886.64,0.0,3269.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.75,0.0,10350.0,CA,53,1,D,50041.0,0.0,87104.0,0.0,1,137145.0,404934.99,2.952604834299464
H0CA49089,2010,5927.7,355.02,0.0,1090.14,0.0,719.93,0.0,0.0,0.0,0.0,0.0,0.0,344.32,CA,49,0,D,25948.0,0.0,59714.0,0.0,0,85662.0,8437.11,0.09849303074875675
H0CA51036,2010,50029.5,4417.73,46823.99,158398.15,0.0,53767.28,22797.09,0.0,0.0,0.0,0.0,0.0,10967.36,CA,51,0,R,27286.0,0.0,57488.0,0.0,0,84774.0,347201.10000000003,4.095608323306674
H0CA51036,2012,26613.23,4952.17,12982.6,37413.56,2841.75,10738.34,10035.35,0.0,0.0,0.0,0.0,0.0,1712.22,CA,53,0,R,51423.0,0.0,103482.0,0.0,0,154905.0,107289.22,0.6926130208837675
H0CO01078,2010,45459.39,0.0,39444.73,78349.06,4500.0,23726.9,2085.33,0.0,0.0,0.0,0.0,0.0,0.0,CO,1,0,R,13970.0,0.0,59747.0,0.0,0,73717.0,193565.41,2.625790658871088
H0CO01110,2010,763.06,5.0,506.35,11881.06,0.0,469.75,0.0,0.0,0.0,0.0,0.0,0.0,19.91,CO,1,0,L,216.0,0.0,2867.0,0.0,0,3083.0,13645.13,4.4259260460590335
H0CO02134,2010,60533.29,0.0,3239.63,26046.44,3695.0,19896.78,6286.02,0.0,0.0,0.0,0.0,0.0,9135.58,CO,2,0,R,23439.0,0.0,98194.0,0.0,0,121633.0,128832.74,1.0591923244514236
H0CO04122,2012,13800.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562415.2199999997,CO,4,1,R,49340.0,0.0,200006.0,0.0,1,249346.0,1576215.5299999998,6.321398899521147
